block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2,image_v3,image_v4,hue_v3,hue_prom_v3,hue_v4,hue_prom_v4,image_v5,image_v6,hue_v5,hue_prom_v5,hue_v6,hue_prom_v6
5,1,1,1,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/filingcabinet.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotwalksign.png,136.34347,NA,319.6854,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/linedpaper.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cinderblock.png,136.34347,NA,319.6854,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/penne.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/Jesusstatue.png,136.34347,NA,319.6854,NA
5,2,1,2,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/barbecue03.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/church.png,102.21579,NA,161.65772,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/frenchfries.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sunflowerseeds.png,102.21579,NA,161.65772,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bluecheese.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exercisebike.png,102.21579,NA,161.65772,NA
5,3,1,3,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chest01.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/puzzle.png,316.8328,NA,140.73324,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pumpkin.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gazebo.png,316.8328,NA,140.73324,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/outdoorchair.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gong.png,316.8328,NA,140.73324,NA
5,4,1,4,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/humanskull.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/popcorn.png,340.6658,NA,91.91702,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotwalksign.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dartboard.png,340.6658,NA,91.91702,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mortarandpestle.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coloringset.png,340.6658,NA,91.91702,NA
5,5,1,5,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windmill.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sportsjersey.png,219.55773,NA,272.0702,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handcuffs.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treetrunk.png,219.55773,NA,272.0702,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/callbell.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airhockeytable.png,219.55773,NA,272.0702,NA
5,6,1,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tankertruck.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/snowman.png,225.69455,NA,302.2616,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/maraca01.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bun.png,225.69455,NA,302.2616,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/oven.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hangar.png,225.69455,NA,302.2616,NA
5,7,1,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doubledoors.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pipe.png,277.88906,NA,138.58548,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eggslicer.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/road02.png,277.88906,NA,138.58548,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exitsign.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/key07.png,277.88906,NA,138.58548,NA
5,8,1,8,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windowshutter.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fortunecookie.png,308.9848,NA,156.24624,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tortillachip.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/marble.png,308.9848,NA,156.24624,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nosmokingsign.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/safe.png,308.9848,NA,156.24624,NA
5,9,1,9,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coloringset.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/8ball.png,354.9497,NA,296.272,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeypuck.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/noparkingsign.png,354.9497,NA,296.272,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/playground.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gutteranddrainpipe.png,354.9497,NA,296.272,NA
5,10,1,10,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lifesaver.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bikerack.png,299.4848,NA,80.26683,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cherrytomato01.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cherrytomato01.png,299.4848,NA,80.26683,NA,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gardenswing.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/satellitedish01.png,299.4848,NA,80.26683,NA
