"","350","370","390","410","420","450","mode","effect"
"load3",0.144,0.19,0.182,0.186,0.168,0.266,"databased","load3"
"load5",1,1,1,1,1,1,"databased","load5"
"trialpm",0.024,0.024,0.016,0.024,0.026,0.018,"databased","trialpm"
"load3:trialpm",0.524,0.526,0.516,0.58,0.61,0.582,"databased","load3:trialpm"
"load5:trialpm",0.756,0.752,0.796,0.814,0.844,0.854,"databased","load5:trialpm"
"load31",0.176,0.168,0.216,0.218,0.222,0.224,"SESOI","load3"
"load51",1,1,1,1,1,1,"SESOI","load5"
"trialpm1",0.026,0.022,0.024,0.024,0.022,0.03,"SESOI","trialpm"
"load3:trialpm1",0.448,0.518,0.524,0.518,0.578,0.628,"SESOI","load3:trialpm"
"load5:trialpm1",0.726,0.774,0.78,0.786,0.812,0.858,"SESOI","load5:trialpm"
