"","partID","conds","datalong"
"1","part 1","l1_b",-0.141376406068413
"2","part 2","l1_b",-0.291997553212958
"3","part 3","l1_b",2.18552367231715
"4","part 4","l1_b",1.97728818724243
"5","part 5","l1_b",-0.759912054103106
"6","part 6","l1_b",1.0633003322185
"7","part 7","l1_b",-0.845538516825762
"8","part 8","l1_b",1.66280653318539
"9","part 9","l1_b",-0.672306652734836
"10","part 10","l1_b",1.42042434175515
"11","part 11","l1_b",0.0274934914963773
"12","part 12","l1_b",-0.404067712601285
"13","part 13","l1_b",-0.565129198013826
"14","part 14","l1_b",-0.193447142007367
"15","part 15","l1_b",2.19933530895822
"16","part 16","l1_b",1.31363241095139
"17","part 17","l1_b",0.208720524383649
"18","part 18","l1_b",-0.325650977941661
"19","part 19","l1_b",0.0113670914226496
"20","part 20","l1_b",-0.562752909995435
"21","part 21","l1_b",-1.31783107714857
"22","part 22","l1_b",0.792156546247928
"23","part 23","l1_b",1.21676627637554
"24","part 24","l1_b",-0.0340766614560046
"25","part 25","l1_b",-0.544569806329195
"26","part 26","l1_b",-1.11769457956795
"27","part 27","l1_b",-1.17714735885398
"28","part 28","l1_b",0.0564210724601662
"29","part 29","l1_b",1.73108968610872
"30","part 30","l1_b",1.81841050669144
"31","part 31","l1_b",1.44372505698552
"32","part 32","l1_b",-0.435398078046574
"33","part 33","l1_b",-0.29061197348047
"34","part 34","l1_b",-0.164764927081817
"35","part 35","l1_b",0.0113666223063799
"36","part 36","l1_b",-0.537939593043595
"37","part 37","l1_b",-0.0335149684219064
"38","part 38","l1_b",0.293300418582232
"39","part 39","l1_b",0.337773997943167
"40","part 40","l1_b",-0.359612913362446
"41","part 41","l1_b",0.0494507429042014
"42","part 42","l1_b",1.02563938485022
"43","part 43","l1_b",-2.38686742656168
"44","part 44","l1_b",-0.60436580408585
"45","part 45","l1_b",-0.646249492025373
"46","part 46","l1_b",-0.0105140337891637
"47","part 47","l1_b",-0.147006405832801
"48","part 48","l1_b",1.6371469673327
"49","part 49","l1_b",-1.03437357863636
"50","part 50","l1_b",0.236383622546944
"51","part 51","l1_b",0.679914764570081
"52","part 52","l1_b",1.15873990895671
"53","part 53","l1_b",1.37070031147843
"54","part 54","l1_b",0.391090035089168
"55","part 55","l1_b",0.778403319961294
"56","part 56","l1_b",0.836726319528742
"57","part 57","l1_b",1.05448519845946
"58","part 58","l1_b",-0.265308324452308
"59","part 59","l1_b",-1.20846508175898
"60","part 60","l1_b",-1.0668367896408
"61","part 61","l1_b",-0.295995318761413
"62","part 62","l1_b",1.01571636561685
"63","part 63","l1_b",-0.719554805903211
"64","part 64","l1_b",1.96342748561312
"65","part 65","l1_b",-0.350980414599374
"66","part 66","l1_b",-1.63435207817719
"67","part 67","l1_b",-1.25326691289815
"68","part 68","l1_b",-2.37558128943832
"69","part 69","l1_b",0.328773115593651
"70","part 70","l1_b",1.25942533760396
"71","part 71","l1_b",1.41491974273549
"72","part 72","l1_b",1.2356826165073
"73","part 73","l1_b",0.0803320473476926
"74","part 74","l1_b",-0.703888109665582
"75","part 75","l1_b",0.312434895655716
"76","part 76","l1_b",-2.04542171118528
"77","part 77","l1_b",0.433794826197823
"78","part 78","l1_b",1.9817093135732
"79","part 79","l1_b",-0.00685516317126522
"80","part 80","l1_b",-1.61357937548301
"81","part 81","l1_b",0.0307498578996489
"82","part 82","l1_b",0.133704905712978
"83","part 83","l1_b",-0.322740807354127
"84","part 84","l1_b",0.774454745617571
"85","part 85","l1_b",0.183317137293107
"86","part 86","l1_b",0.857609072459027
"87","part 87","l1_b",-1.42755622964265
"88","part 88","l1_b",0.354422540088847
"89","part 89","l1_b",-0.459606152026203
"90","part 90","l1_b",-1.15915849105772
"91","part 91","l1_b",0.129840998289057
"92","part 92","l1_b",0.0183391510116641
"93","part 93","l1_b",1.00990928495616
